,Parity,Buy_on_day,Sell_on_day,Profit_in_Trade
168,XAU_TRY,747,749,2.81588
169,XAU_TRY,755,762,6.2456
170,EUR_TRY,763,765,1.823
171,USD_TRY,769,770,1.09655
172,XAU_TRY,772,774,1.5772
173,XAU_TRY,777,778,1.29882
174,USD_TRY,779,781,0.87561
175,USD_TRY,782,786,0.53254
176,GBP_TRY,787,790,0.69162
177,USD_TRY,793,797,1.50048
178,EUR_TRY,799,807,2.08564
179,XAU_TRY,808,813,3.25419
180,XAU_TRY,814,816,1.58568
181,GBP_TRY,817,821,2.54876
182,XAU_TRY,822,826,4.19222
183,XAU_TRY,828,829,0.7625
184,XAU_TRY,830,832,0.75148
185,XAU_TRY,833,836,1.71043
186,XAU_TRY,837,840,1.90455
187,XAU_TRY,841,844,2.263
188,XAU_TRY,846,850,1.79381
189,XAU_TRY,851,854,1.64448
190,XAU_TRY,855,860,6.31799
191,XAU_TRY,861,863,1.4914
192,XAU_TRY,865,866,1.94424
193,EUR_TRY,867,870,3.96274
194,EUR_TRY,871,873,1.78777
195,EUR_TRY,874,875,2.23329
196,USD_TRY,876,880,2.57132
197,GBP_TRY,881,887,9.85953
198,USD_TRY,888,890,2.47785
199,XAU_TRY,891,898,7.06421
200,XAU_TRY,899,904,3.19198
201,USD_TRY,907,912,3.57081
202,XAU_TRY,916,919,0.85912
203,EUR_TRY,921,922,0.71651
204,XAU_TRY,923,924,0.9553
205,XAU_TRY,926,930,2.97591
206,GBP_TRY,931,936,2.6472
207,USD_TRY,937,938,0.98335
208,EUR_TRY,939,940,0.93933
209,XAU_TRY,943,946,2.43865
210,XAU_TRY,948,951,1.0505
211,XAU_TRY,952,957,2.45437
212,EUR_TRY,958,961,1.08569
213,XAU_TRY,963,972,11.73451
214,XAU_TRY,973,974,0.46531
215,XAU_TRY,975,978,8.58302
216,XAU_TRY,981,983,4.07153
217,XAU_TRY,984,986,2.98695
218,USD_TRY,987,991,1.35519
219,XAU_TRY,993,996,2.22769
220,XAU_TRY,997,1002,1.60069
221,USD_TRY,1003,1012,3.33776
222,XAU_TRY,1013,1016,4.15036
223,XAU_TRY,1017,1018,1.48925
224,EUR_TRY,1019,1023,2.58185
225,USD_TRY,1024,1026,0.73823
226,GBP_TRY,1031,1037,5.32678
227,XAU_TRY,1038,1044,7.44367
228,GBP_TRY,1045,1046,1.8372
229,GBP_TRY,1048,1052,1.39867
230,GBP_TRY,1053,1056,6.68131
231,XAU_TRY,1060,1062,3.32517
232,XAU_TRY,1063,1066,2.19506
