"Date","Price","Open","High","Low","Change %"
"Aug 14, 2020","1.3084","1.3060","1.3144","1.3047","0.16%"
"Aug 13, 2020","1.3063","1.3035","1.3125","1.3030","0.24%"
"Aug 12, 2020","1.3032","1.3053","1.3068","1.3004","-0.12%"
"Aug 11, 2020","1.3048","1.3078","1.3132","1.3041","-0.17%"
"Aug 10, 2020","1.3070","1.3042","1.3104","1.3018","0.15%"
"Aug 07, 2020","1.3051","1.3153","1.3155","1.3009","-0.72%"
"Aug 06, 2020","1.3146","1.3114","1.3187","1.3111","0.26%"
"Aug 05, 2020","1.3112","1.3073","1.3162","1.3056","0.40%"
"Aug 04, 2020","1.3060","1.3075","1.3109","1.2981","-0.09%"
"Aug 03, 2020","1.3072","1.3082","1.3113","1.3004","-0.12%"
"Jul 31, 2020","1.3088","1.3098","1.3171","1.3069","-0.04%"
"Jul 30, 2020","1.3093","1.2997","1.3103","1.2944","0.75%"
"Jul 29, 2020","1.2995","1.2932","1.3013","1.2911","0.50%"
"Jul 28, 2020","1.2930","1.2882","1.2953","1.2838","0.38%"
"Jul 27, 2020","1.2881","1.2786","1.2903","1.2780","0.72%"
"Jul 24, 2020","1.2789","1.2741","1.2804","1.2717","0.39%"
"Jul 23, 2020","1.2739","1.2734","1.2761","1.2672","0.05%"
"Jul 22, 2020","1.2732","1.2733","1.2744","1.2644","0.03%"
"Jul 21, 2020","1.2728","1.2658","1.2768","1.2650","0.54%"
"Jul 20, 2020","1.2660","1.2565","1.2666","1.2517","0.76%"
"Jul 17, 2020","1.2565","1.2552","1.2575","1.2510","0.13%"
"Jul 16, 2020","1.2549","1.2584","1.2625","1.2520","-0.25%"
"Jul 15, 2020","1.2580","1.2552","1.2651","1.2548","0.26%"
"Jul 14, 2020","1.2548","1.2558","1.2567","1.2479","-0.03%"
"Jul 13, 2020","1.2552","1.2612","1.2667","1.2550","-0.54%"
"Jul 10, 2020","1.2620","1.2607","1.2665","1.2566","0.13%"
"Jul 09, 2020","1.2604","1.2614","1.2671","1.2600","-0.04%"
"Jul 08, 2020","1.2609","1.2542","1.2624","1.2508","0.55%"
"Jul 07, 2020","1.2540","1.2492","1.2593","1.2463","0.39%"
"Jul 06, 2020","1.2491","1.2485","1.2521","1.2459","0.06%"
"Jul 03, 2020","1.2483","1.2465","1.2494","1.2437","0.14%"
"Jul 02, 2020","1.2466","1.2476","1.2531","1.2456","-0.03%"
"Jul 01, 2020","1.2470","1.2401","1.2492","1.2358","0.57%"
"Jun 30, 2020","1.2399","1.2298","1.2402","1.2257","0.84%"
"Jun 29, 2020","1.2296","1.2340","1.2391","1.2251","-0.30%"
"Jun 26, 2020","1.2333","1.2421","1.2438","1.2313","-0.65%"
"Jun 25, 2020","1.2414","1.2419","1.2465","1.2388","-0.03%"
"Jun 24, 2020","1.2418","1.2521","1.2543","1.2414","-0.80%"
"Jun 23, 2020","1.2518","1.2467","1.2533","1.2431","0.46%"
"Jun 22, 2020","1.2461","1.2356","1.2478","1.2335","0.85%"
"Jun 19, 2020","1.2356","1.2421","1.2457","1.2343","-0.55%"
"Jun 18, 2020","1.2424","1.2556","1.2568","1.2401","-1.04%"
"Jun 17, 2020","1.2554","1.2573","1.2589","1.2510","-0.16%"
"Jun 16, 2020","1.2574","1.2605","1.2688","1.2553","-0.22%"
"Jun 15, 2020","1.2602","1.2531","1.2608","1.2454","0.49%"
"Jun 12, 2020","1.2540","1.2601","1.2655","1.2473","-0.48%"
